,City,Dentist,Dermatologist,GP,Gynécologist,Ophtalmologist,Pédiatrician,Rank,department,thousand_nights_in_hotels,thousand_nights_in_campsites,population,density,rate_60_and_over,median_income,attractiveness_rank,solar_exposure,precipitation,temperature
2B050,Calvi,29.0,,6.0,148.0,163.0,,250.0,Haute-Corse,1329.0,1997.0,5666.0,181.6,22.0,18970.0,379,,,
59122,Cambrai,57.0,268.0,90.0,13.0,211.0,27.0,136.0,Nord,3868.0,317.0,32501.0,1787.7,28.1,18400.0,572,,,
11069,Carcassonne,28.0,159.0,146.0,155.0,328.0,14.0,202.0,Aude,1111.0,1557.0,46513.0,714.7,30.3,18110.0,88,2119.3,648.5,14.2
84031,Carpentras,59.0,188.0,2.0,106.0,17.0,34.0,71.0,Vaucluse,2223.0,1756.0,28798.0,759.4,29.4,17430.0,206,2811.8,648.2,
04039,Castellane,49.0,,,,,,297.0,Alpes-de-Haute-Provence,764.0,1803.0,1497.0,12.7,38.7,19900.0,12411,,,
82033,Castelsarrasin,155.0,,5.0,123.0,371.0,,275.0,Tarn-et-Garonne,327.0,187.0,13934.0,181.5,28.9,18450.0,1545,,,
81065,Castres,35.0,205.0,1.0,6.0,223.0,39.0,44.0,Tarn,492.0,288.0,41795.0,425.7,32.0,19490.0,73,,,
66049,Céret,95.0,164.0,13.0,115.0,255.0,,309.0,Pyrénées-Orientales,1660.0,7043.0,7821.0,206.6,40.400000000000006,20540.0,3538,,,
95127,Cergy,43.0,169.0,4.0,92.0,255.0,16.0,62.0,Val-d'Oise,4080.0,,66322.0,5692.9,11.9,19410.0,82,,,
51108,Châlons-en-Champagne,21.0,116.0,3.0,53.0,124.0,70.0,11.0,Marne,1666.0,103.0,44246.0,1698.5,24.5,19270.0,181,,,
73065,Chambéry,7.0,12.0,2.0,116.0,13.0,9.0,6.0,Savoie,3499.0,806.0,58833.0,2802.9,24.1,20620.0,23,,,
71106,Charolles,11.0,,52.0,146.0,218.0,10.0,243.0,Saône-et-Loire,1453.0,553.0,2810.0,140.6,38.7,20280.0,5723,,,
28085,Chartres,37.0,132.0,4.0,80.0,78.0,57.0,42.0,Eure-et-Loir,719.0,110.0,38426.0,2280.5,27.5,21600.0,334,1758.0,598.9,11.0
58062,Château-Chinon,,144.0,,89.0,,,314.0,Nièvre,391.0,279.0,1926.0,450.0,37.2,17760.0,5180,,,
02168,Château-Thierry,72.0,,49.0,94.0,202.0,78.0,227.0,Aisne,523.0,544.0,15351.0,927.6,26.8,18020.0,1158,,,
44036,Châteaubriant,134.0,164.0,10.0,183.0,72.0,,214.0,Loire-Atlantique,3307.0,2722.0,12011.0,357.3,34.3,19150.0,710,,,
28088,Châteaudun,196.0,295.0,,,,,292.0,Eure-et-Loir,719.0,110.0,13078.0,459.2,29.8,18640.0,716,,,
29026,Châteaulin,,,,,,,213.0,Finistère,1946.0,4445.0,5189.0,249.4,28.0,20630.0,4153,,,
36044,Châteauroux,101.0,232.0,,,,,254.0,Indre,419.0,125.0,43442.0,1700.9,30.0,19320.0,36,1840.7,737.1,11.8
86066,Châtellerault,102.0,335.0,66.0,,,,150.0,Vienne,1685.0,352.0,31733.0,611.1,32.9,19260.0,326,,,
52121,Chaumont,92.0,152.0,4.0,50.0,378.0,83.0,94.0,Haute-Marne,301.0,214.0,21990.0,397.9,28.8,20360.0,567,,,
50129,Cherbourg-en-Cotentin,92.0,142.0,9.0,245.0,214.0,194.0,237.0,Manche,1277.0,1336.0,79144.0,1154.7,26.8,21160.0,7,,732.7,11.1
37072,Chinon,181.0,62.0,11.0,198.0,359.0,16.0,207.0,Indre-et-Loire,1885.0,689.0,8145.0,208.7,36.3,20750.0,1917,,,
49099,Cholet,102.0,147.0,16.0,69.0,144.0,108.0,142.0,Maine-et-Loire,1348.0,711.0,54186.0,619.5,28.0,20830.0,90,,777.5,11.9
58079,Clamecy,100.0,,4.0,,56.0,,295.0,Nièvre,391.0,279.0,3674.0,121.4,38.6,17610.0,2885,,,
60157,Clermont,62.0,,6.0,105.0,169.0,15.0,95.0,Oise,1285.0,169.0,10183.0,1752.7,22.4,20590.0,1585,,,
63113,Clermont-Ferrand,9.0,141.0,3.0,121.0,194.0,18.0,90.0,Puy-de-Dôme,1910.0,1045.0,146734.0,3438.8,21.5,19460.0,53,1913.0,578.9,11.6
16102,Cognac,132.0,124.0,4.0,126.0,56.0,63.0,59.0,Charente,468.0,152.0,18628.0,1201.8,29.1,20480.0,642,2024.9,783.6,12.5
68066,Colmar,40.0,190.0,4.0,180.0,72.0,30.0,41.0,Haut-Rhin,2975.0,759.0,68703.0,1032.0,25.1,19850.0,72,1799.0,607.3,10.9
55122,Commercy,138.0,98.0,19.0,172.0,185.0,,244.0,Meuse,240.0,89.0,5399.0,152.6,31.0,17860.0,1705,1664.9,775.1,10.0
60159,Compiègne,251.0,221.0,10.0,24.0,103.0,14.0,93.0,Oise,1285.0,169.0,40542.0,763.5,24.4,19860.0,388,,662.2,11.1
32107,Condom,167.0,,6.0,166.0,156.0,,265.0,Gers,221.0,390.0,6508.0,66.8,41.0,18530.0,2865,,,
16106,Confolens,243.0,123.0,96.0,167.0,196.0,,297.0,Charente,468.0,152.0,2673.0,113.1,44.5,20200.0,5505,,,
2B096,Corte,292.0,41.0,8.0,154.0,115.0,364.0,191.0,Haute-Corse,1329.0,1997.0,7468.0,50.0,19.8,19560.0,3630,,,
58086,Cosne-Cours-sur-Loire,153.0,230.0,2.0,76.0,46.0,73.0,64.0,Nièvre,391.0,279.0,9741.0,182.8,41.6,19990.0,1499,,,
50147,Coutances,136.0,95.0,4.0,216.0,88.0,,144.0,Manche,1277.0,1336.0,8454.0,675.8,31.5,19210.0,592,,1061.2,11.2
40088,Dax,26.0,129.0,4.0,4.0,6.0,136.0,9.0,Landes,1129.0,6866.0,20762.0,1053.9,35.6,19310.0,151,,,
26113,Die,221.0,133.0,6.0,,34.0,,247.0,Drôme,1292.0,1731.0,4665.0,81.4,36.6,20100.0,5488,,,
76217,Dieppe,155.0,114.0,20.0,161.0,215.0,34.0,217.0,Seine-Maritime,2499.0,655.0,28561.0,2447.4,34.7,17810.0,56,,798.2,10.9
04070,Digne-les-Bains,90.0,290.0,5.0,110.0,140.0,82.0,132.0,Alpes-de-Haute-Provence,764.0,1803.0,16333.0,139.5,33.0,20230.0,312,2775.4,694.9,12.9
21231,Dijon,53.0,58.0,7.0,103.0,207.0,9.0,33.0,Côte-d'Or,2544.0,379.0,156854.0,3881.6,22.7,21650.0,25,1848.8,760.5,11.0
22050,Dinan,80.0,122.0,87.0,83.0,99.0,80.0,109.0,Côtes-d'Armor,1168.0,2057.0,14281.0,1639.6,37.0,21780.0,133,,,
39198,Dole,116.0,131.0,4.0,92.0,219.0,136.0,130.0,Jura,508.0,1115.0,23770.0,619.3,31.6,19890.0,251,,996.9,10.5
59178,Douai,58.0,185.0,2.0,123.0,292.0,17.0,176.0,Nord,3868.0,317.0,39634.0,2348.0,23.4,17590.0,418,,716.8,10.6
83050,Draguignan,39.0,68.0,3.0,19.0,14.0,8.0,158.0,Var,3676.0,8196.0,39106.0,727.6,28.2,20380.0,433,,856.4,15.2
