insee_code,City,Dentist,Dermatologist,GP,Gynécologist,Ophtalmologist,Pédiatrician,Rank
57631,Sarreguemines,107,228,3,106,210,77,135
2A272,Sartène,119,187,12,163,107,150,271
49328,Saumur,44,NA,5,159,99,9,120
67437,Saverne,141,233,NA,125,161,98,225
08409,Sedan,NA,NA,6,122,NA,134,266
49331,Segré-en-Anjou Bleu,111,277,15,NA,190,NA,288
67462,Sélestat,39,161,4,91,209,21,77
60612,Senlis,62,168,8,118,101,32,269
89387,Sens,147,134,13,141,435,180,268
02722,Soissons,5,305,3,121,281,78,117
67482,Strasbourg,27,105,33,29,14,33,17
65440,Tarbes,10,197,3,150,157,29,49
68334,Thann,40,184,5,100,268,21,84
63430,Thiers,92,267,7,52,221,NA,198
57672,Thionville,106,114,6,74,109,29,45
74281,Thonon-les-Bains,136,128,11,80,216,5,142
77468,Torcy,185,38,3,125,126,16,80
54528,Toul,148,118,12,147,252,87,238
83137,Toulon,160,55,3,134,137,26,196
31555,Toulouse,29,130,78,108,20,20,100
07324,Tournon-sur-Rhône,179,99,2,127,137,37,116
37261,Tours,14,187,3,50,151,29,14
10387,Troyes,138,92,73,119,186,27,167
19272,Tulle,115,80,8,126,50,71,72
19275,Ussel,204,97,14,NA,207,NA,274
54099,Val de Briey,110,94,5,189,242,100,236
26362,Valence,55,60,5,15,19,74,5
59606,Valenciennes,42,211,7,5,79,109,76
56260,Vannes,49,124,6,179,114,21,69
41269,Vendôme,42,152,13,103,154,97,128
55545,Verdun,161,2,4,82,159,114,122
78646,Versailles,346,105,6,63,88,4,96
02789,Vervins,174,70,110,25,230,NA,224
70550,Vesoul,129,197,7,121,145,105,191
03310,Vichy,58,152,84,53,209,60,147
38544,Vienne,127,207,1,101,94,124,89
18279,Vierzon,143,38,12,89,106,NA,125
12300,Villefranche-de-Rouergue,100,43,24,5,183,NA,113
69264,Villefranche-sur-Saône,58,191,3,132,2,77,70
47323,Villeneuve-sur-Lot,95,318,4,176,50,NA,206
14762,Vire Normandie,122,NA,9,194,193,NA,282
51649,Vitry-le-François,54,123,13,203,130,NA,187
08490,Vouziers,98,NA,6,NA,NA,NA,302
43268,Yssingeaux,143,NA,5,142,138,NA,229
