insee_code,name,rate_60_and_over,median_income,solar_exposure,precipitation,temperature
30189,Nîmes,26.6,17770.0,2662.9,762.9,15.2
79191,Niort,27.5,21670.0,,,
28280,Nogent-le-Rotrou,37.8,19980.0,,,
10268,Nogent-sur-Seine,24.9,19370.0,,,
24311,Nontron,41.6,19810.0,,,
26220,Nyons,47.0,19760.0,,,
64422,Oloron-Sainte-Marie,35.3,20190.0,,,
45234,Orléans,,20180.0,1767.3,642.5,11.3
91477,Palaiseau,19.2,27190.0,1798.0,598.3,10.8
09225,Pamiers,27.700000000000003,18320.0,,,
75056,Paris,22.1,28270.0,1661.6,637.4,12.4
79202,Parthenay,35.5,19110.0,,,
64445,Pau,28.1,19930.0,1877.2,1069.9,13.5
24322,Périgueux,29.700000000000003,19720.0,,,
80620,Péronne,31.6,17560.0,,,
66136,Perpignan,28.0,16630.0,,,
45252,Pithiviers,25.8,17330.0,,628.9,11.4
86194,Poitiers,20.1,19000.0,,,
25462,Pontarlier,25.1,23250.0,,,
56178,Pontivy,28.6,20510.0,,968.4,11.4
95500,Pontoise,17.6,20840.0,,638.0,
66149,Prades,38.7,18090.0,,,
07186,Privas,32.8,19940.0,2516.8,815.7,13.6
77379,Provins,26.0,18070.0,,,
29232,Quimper,27.8,21220.0,1683.8,1250.2,11.9
78517,Rambouillet,25.9,26660.0,,,
35236,Redon,32.7,20810.0,,,
51454,Reims,20.9,19060.0,,628.2,10.6
35238,Rennes,19.0,21410.0,1717.1,694.0,12.1
08362,Rethel,30.0,18260.0,,,
63300,Riom,26.4,22040.0,,,
42187,Roanne,32.3,18100.0,,,
87126,Rochechouart,40.3,20780.0,,,
17299,Rochefort,32.7,19110.0,,776.0,13.3
12202,Rodez,27.700000000000003,20850.0,,,
41194,Romorantin-Lanthenay,33.6,19820.0,,,
76540,Rouen,18.8,20340.0,1557.6,805.2,12.1
18197,Saint-Amand-Montrond,42.6,19030.0,,,
22278,Saint-Brieuc,28.4,19690.0,,,
39478,Saint-Claude,33.1,18900.0,,,
88413,Saint-Dié-des-Vosges,31.0,17630.0,,,
52448,Saint-Dizier,29.1,17480.0,,,
42218,Saint-Étienne,25.8,18330.0,,,
15187,Saint-Flour,33.3,20110.0,,,
31483,Saint-Gaudens,36.1,18790.0,,,
78551,Saint-Germain-en-Laye,22.7,31630.0,,,
09261,Saint-Girons,35.3,19340.0,,991.7,12.0
17347,Saint-Jean-d'Angély,41.8,18670.0,2250.0,755.3,12.7
73248,Saint-Jean-de-Maurienne,35.2,21140.0,,,
74243,Saint-Julien-en-Genevois,16.299999999999997,31730.0,,,
50502,Saint-Lô,29.6,19800.0,,,
35288,Saint-Malo,39.2,21930.0,1666.6,758.7,
44184,Saint-Nazaire,29.200000000000003,20760.0,1892.6,774.4,12.4
62765,Saint-Omer,20.6,16730.0,,1103.7,10.1
02691,Saint-Quentin,27.5,17350.0,1659.9,702.6,10.3
51507,Sainte-Menehould,35.4,19410.0,1682.0,857.0,
17415,Saintes,36.400000000000006,20400.0,,910.6,13.0
95585,Sarcelles,16.4,15650.0,,,
24520,Sarlat-la-Canéda,38.8,19990.0,,,
57630,Sarrebourg,26.700000000000003,18730.0,,,
57631,Sarreguemines,28.200000000000003,19060.0,,,
2A272,Sartène,32.400000000000006,19760.0,,,
49328,Saumur,32.6,19970.0,,,
67437,Saverne,28.200000000000003,20540.0,,,
08409,Sedan,29.8,16350.0,,,
49331,Segré-en-Anjou Bleu,26.6,20320.0,,,
67462,Sélestat,25.2,20980.0,1692.7,665.0,
60612,Senlis,25.0,25800.0,,,
89387,Sens,29.1,17700.0,,657.7,11.6
02722,Soissons,28.1,17430.0,,,
67482,Strasbourg,,18790.0,,,
65440,Tarbes,29.6,17880.0,,,
68334,Thann,27.5,20770.0,,,
63430,Thiers,32.400000000000006,18310.0,,,
57672,Thionville,25.6,23110.0,,,
74281,Thonon-les-Bains,27.4,23260.0,,,
77468,Torcy,16.4,20360.0,,,
54528,Toul,25.1,18230.0,,,
83137,Toulon,,19750.0,,,
31555,Toulouse,16.9,21190.0,,,
07324,Tournon-sur-Rhône,29.7,20880.0,,,
37261,Tours,23.5,19910.0,1833.3,695.6,11.8
10387,Troyes,23.3,17450.0,1816.4,520.2,10.4
19272,Tulle,31.4,20490.0,,,
19275,Ussel,34.0,19970.0,,,
54099,Val de Briey,27.0,21880.0,,,
26362,Valence,25.8,19450.0,,,
59606,Valenciennes,,18970.0,,,
56260,Vannes,32.3,22190.0,,924.6,12.7
41269,Vendôme,35.5,19700.0,,659.3,11.8
55545,Verdun,29.200000000000003,19180.0,,905.1,10.8
78646,Versailles,22.9,32140.0,,657.3,11.0
02789,Vervins,26.4,17790.0,,,
70550,Vesoul,29.4,18390.0,1776.0,1049.1,10.4
03310,Vichy,42.0,19130.0,,,
38544,Vienne,25.3,20270.0,,,
18279,Vierzon,34.6,18190.0,,795.9,12.0
12300,Villefranche-de-Rouergue,39.5,19690.0,,,
69264,Villefranche-sur-Saône,23.5,18340.0,,,
47323,Villeneuve-sur-Lot,36.7,18420.0,,,
14762,Vire Normandie,34.7,20430.0,,,
51649,Vitry-le-François,30.6,16650.0,1682.0,857.0,
08490,Vouziers,35.900000000000006,19440.0,,,
43268,Yssingeaux,28.8,21340.0,,943.8,9.3
