,Territoire,Dentiste,Dermatologue,Généraliste,Gynécologue,Ophtalmologue,Pédiatre,Rang sur 314,Hôtels_de_tourisme_(en_milliers_de_nuitées,Campings (en_milliers_de_nuitées),Département,Superficie,Population,Densité,Classement,precipitation,ensoleillement,temperature,part_60_et_plus_2018,revenu_disp_par_UC_2018
39198,Dole,116.0,131.0,4.0,92.0,219.0,136.0,130.0,508,1115 ,Jura,4999,260517,52.11382276455291,251,996.9,,10.5,31.6,19890.0
59178,Douai,58.0,185.0,2.0,123.0,292.0,17.0,176.0,3868,317 ,Nord,5743,2603723,453.3733240466655,418,,,,23.4,17590.0
83050,Draguignan,39.0,68.0,3.0,19.0,14.0,8.0,158.0,3676,8196 ,Var,5973,1055821,176.76561192030806,433,,,,28.2,20380.0
28134,Dreux,57.0,33.0,8.0,86.0,225.0,39.0,52.0,719,110 ,Eure-et-Loir,5880,433929,73.79744897959183,580,,,,21.9,17170.0
59183,Dunkerque,28.0,212.0,88.0,81.0,93.0,38.0,170.0,3868,317 ,Nord,5743,2603723,453.3733240466655,38,,,,27.6,19090.0
51230,Épernay,62.0,229.0,6.0,181.0,324.0,151.0,233.0,1666,103 ,Marne,8162,570883,69.9440088213673,546,681.0,,,27.7,19380.0
88160,Épinal,14.0,132.0,4.0,83.0,271.0,63.0,46.0,940,691 ,Vosges,5874,369641,62.92832822608104,59,923.7,1734.4,9.9,26.7,19030.0
91223,Étampes,155.0,158.0,6.0,6.0,252.0,109.0,155.0,2049,143 ,Essonne,1804,1287330,713.5975609756098,395,598.3,1798.0,10.8,17.9,19210.0
27229,Évreux,54.0,136.0,11.0,48.0,204.0,,141.0,620,187 ,Eure,6040,602825,99.80546357615894,246,611.6,1684.0,,22.3,17630.0
91228,Évry-Courcouronnes,97.0,88.0,7.0,50.0,39.0,101.0,149.0,2049,143 ,Essonne,1804,1287330,713.5975609756098,48,,,,14.9,18050.0
46102,Figeac,122.0,179.0,2.0,115.0,150.0,115.0,119.0,546,982 ,Lot,5217,173347,33.22733371669542,591,,,,33.8,21240.0
48061,Florac Trois Rivières,32.0,,4.0,,,,255.0,378,572 ,Lozère,5167,76422,14.790400619314882,6870,,,,33.6,19870.0
09122,Foix,45.0,58.0,98.0,117.0,223.0,98.0,164.0,258,483 ,Ariège,4890,153067,31.30204498977505,878,,,,32.9,20160.0
77186,Fontainebleau,9.0,189.0,17.0,43.0,25.0,7.0,18.0,9653,1038 ,Seine-et-Marne,5915,1397665,236.2916314454776,498,734.0,,11.0,27.3,25470.0
85092,Fontenay-le-Comte,124.0,149.0,6.0,134.0,142.0,,190.0,1546,9046 ,Vendée,6720,670597,99.79122023809524,1207,,,,38.5,19990.0
57227,Forbach,8.0,168.0,6.0,157.0,242.0,118.0,221.0,1795,284 ,Moselle,6216,1045271,168.15814028314028,432,,,,26.6,16660.0
04088,Forcalquier,129.0,29.0,5.0,173.0,159.0,45.0,208.0,764,1803 ,Alpes-de-Haute-Provence,6925,162565,23.47509025270758,3775,426.0,,12.8,36.5,19520.0
35115,Fougères,64.0,140.0,7.0,127.0,180.0,55.0,105.0,3053,1269 ,Ille-et-Vilaine,6775,1051779,155.24413284132842,703,,,,32.1,19430.0
05061,Gap,51.0,65.0,12.0,36.0,187.0,78.0,47.0,976,1245 ,Hautes-Alpes,5549,141107,25.429266534510724,205,,,,29.9,21160.0
01173,Gex,98.0,,6.0,68.0,189.0,50.0,171.0,1311,592 ,Ain,5762,638425,110.79920166608817,1962,1042.0,,9.2,14.2,32900.0
46127,Gourdon,120.0,91.0,8.0,,203.0,,225.0,546,982 ,Lot,5217,173347,33.22733371669542,2119,,,,47.2,19860.0
06069,Grasse,56.0,125.0,106.0,2.0,6.0,6.0,80.0,9062,848 ,Alpes-Maritimes,4299,1083704,252.08280995580367,178,,,,25.8,21850.0
38185,Grenoble,136.0,124.0,7.0,50.0,169.0,98.0,201.0,2467,998 ,Isère,7431,1252912,168.60610954111155,114,923.9,,13.4,19.7,21050.0
23096,Guéret,98.0,,5.0,27.0,276.0,82.0,196.0,123,136 ,Creuse,5565,119502,21.473854447439354,321,968.7,,11.3,32.1,19840.0
22070,Guingamp,137.0,221.0,6.0,38.0,140.0,34.0,164.0,1168,2057 ,Côtes-d'Armor,6878,598953,87.0824367548706,422,,,,26.9,17360.0
67180,Haguenau,19.0,112.0,9.0,8.0,8.0,49.0,40.0,4437,509 ,Bas-Rhin,4755,1121407,235.8374342797056,550,658.0,,10.0,24.5,21720.0
63178,Issoire,212.0,54.0,4.0,138.0,249.0,75.0,160.0,1910,1045 ,Puy-de-Dôme,7970,650700,81.64366373902133,583,623.0,,10.9,29.5,20690.0
36088,Issoudun,129.0,,63.0,,152.0,,304.0,419,125 ,Indre,6791,223505,32.91194227654248,725,737.1,1840.7,11.8,36.0,19850.0
13047,Istres,19.0,176.0,5.0,5.0,20.0,37.0,49.0,6724,1689 ,Bouches-du-Rhône,5087,2019717,397.03499115392174,115,,,,25.2,21720.0
17197,Jonzac,57.0,,3.0,,211.0,,279.0,2321,7395 ,Charente-Maritime,6864,642191,93.55929487179488,2500,,,,41.2,19070.0
36046,La Châtre,192.0,175.0,23.0,,358.0,,312.0,419,125 ,Indre,6791,223505,32.91194227654248,4856,737.1,1840.7,11.8,45.6,19250.0
72154,La Flèche,163.0,298.0,19.0,69.0,377.0,,291.0,894,322 ,Sarthe,6206,567561,91.45359329680954,1660,687.5,1772.0,,31.5,20400.0
85191,La Roche-sur-Yon,104.0,143.0,16.0,126.0,71.0,10.0,86.0,1546,9046 ,Vendée,6720,670597,99.79122023809524,39,,,,26.8,21050.0
17300,La Rochelle,112.0,133.0,4.0,92.0,21.0,33.0,26.0,2321,7395 ,Charente-Maritime,6864,642191,93.55929487179488,3,767.0,2105.5,13.4,29.9,20690.0
38509,La Tour-du-Pin,188.0,210.0,24.0,151.0,7.0,22.0,234.0,2467,998 ,Isère,7431,1252912,168.60610954111155,2077,,,,25.5,18320.0
33227,Langon,118.0,110.0,19.0,125.0,105.0,100.0,205.0,4665,5280 ,Gironde,9976,1566679,157.04480753809142,1474,,,,33.1,18910.0
52269,Langres,155.0,91.0,13.0,33.0,108.0,,120.0,301,214 ,Haute-Marne,6211,178084,28.67235549830945,1130,,,,29.6,19510.0
22113,Lannion,106.0,77.0,6.0,47.0,227.0,,105.0,1168,2057 ,Côtes-d'Armor,6878,598953,87.0824367548706,11,,,,29.6,21940.0
02408,Laon,33.0,110.0,5.0,23.0,138.0,2.0,8.0,523,544 ,Aisne,7369,536136,72.75559777446058,646,,,,25.2,17140.0
07132,Largentière,154.0,25.0,89.0,35.0,95.0,127.0,130.0,612,4354 ,Ardèche,5529,325157,58.809368782781696,8980,,,,35.8,17740.0
53130,Laval,180.0,172.0,6.0,82.0,268.0,34.0,168.0,296,93 ,Mayenne,5175,307688,59.456618357487926,79,769.1,,,27.0,20340.0
36018,Le Blanc,143.0,188.0,37.0,,50.0,,258.0,419,125 ,Indre,6791,223505,32.91194227654248,3332,737.1,1840.7,11.8,38.5,19130.0
76351,Le Havre,19.0,115.0,2.0,39.0,6.0,58.0,3.0,2499,655 ,Seine-Maritime,6278,1255755,200.02468939152595,8,790.3,,11.4,25.6,19240.0
72181,Le Mans,175.0,241.0,5.0,117.0,11.0,32.0,101.0,894,322 ,Sarthe,6206,567561,91.45359329680954,5,687.5,1771.8,12.0,27.3,20210.0
43157,Le Puy-en-Velay,70.0,162.0,8.0,107.0,184.0,98.0,161.0,324,234 ,Haute-Loire,4977,227339,45.67791842475387,100,,,,29.5,18970.0
30350,Le Vigan,108.0,96.0,5.0,149.0,191.0,,171.0,1451,3420 ,Gard,5853,742006,126.77362036562448,2539,,,,38.2,16630.0
62498,Lens,22.0,46.0,4.0,56.0,247.0,104.0,193.0,2555,799 ,Pas-de-Calais,6671,1470725,220.4654474591516,389,519.3,,,24.9,15990.0
27016,Les Andelys,171.0,222.0,313.0,114.0,8.0,47.0,209.0,620,187 ,Eure,6040,602825,99.80546357615894,2497,,,,26.8,19480.0
85194,Les Sables-d'Olonne,14.0,145.0,80.0,150.0,126.0,207.0,199.0,1546,9046 ,Vendée,6720,670597,99.79122023809524,31,884.3,1756.0,,47.9,22800.0
33240,Lesparre-Médoc,176.0,74.0,22.0,107.0,309.0,106.0,241.0,4665,5280 ,Gironde,9976,1566679,157.04480753809142,2394,984.1,,13.3,32.3,18500.0
33243,Libourne,,203.0,5.0,265.0,8.0,117.0,107.0,4665,5280 ,Gironde,9976,1566679,157.04480753809142,560,,,,28.1,19480.0
59350,Lille,131.0,155.0,5.0,38.0,66.0,24.0,80.0,3868,317 ,Nord,5743,2603723,453.3733240466655,91,742.5,1617.5,10.8,14.3,19320.0
87085,Limoges,120.0,57.0,6.0,134.0,292.0,106.0,164.0,706,211 ,Haute-Vienne,5520,374978,67.93079710144927,26,,,,27.1,19460.0
11206,Limoux,26.0,83.0,6.0,,117.0,,98.0,1 111,1557 ,Aude,6139,368025,59.94868871151653,2042,647.7,,13.2,36.8,18950.0
14366,Lisieux,183.0,58.0,8.0,24.0,225.0,110.0,148.0,3 556,2163 ,Calvados,5548,693679,125.03226387887528,311,,,,30.7,17980.0
37132,Loches,189.0,230.0,28.0,24.0,134.0,123.0,220.0,1885,689 ,Indre-et-Loire,6127,606223,98.94287579565857,1245,,,,41.5,19810.0
