,Communes,Classement 
22850,BOURNONCLE ST PIERRE,10574
22851,ST REMY DU NORD,5988
22852,ENTRE DEUX GUIERS,10767
22853,ESQUEHERIES,15510
22854,LA CHAISE DIEU,11160
22855,ST SOUPLET,5747
22856,LES EPARRES,8588
22857,ETAVES ET BOCQUIAUX,14739
22858,CHAMPCLAUSE,26946
22859,SANTES,1509
22860,EYBENS,656
22861,ETREAUPONT,16017
22862,CHANIAT,19502
22863,LA SENTINELLE,1729
22864,FARAMANS,20323
22865,EVERGNICOURT,31929
22866,CHANTEUGES,10699
22867,SERCUS,11741
22868,FAVERGES DE LA TOUR,14119
22869,FERE EN TARDENOIS,14767
22870,CHASTEL,33476
22871,SIN LE NOBLE,795
22872,LA FLACHERE,15980
22873,LA FERTE CHEVRESIS,30667
22874,CHENEREILLES,18633
22875,SOCX,9373
22876,FLACHERES,23331
22877,FONTAINE UTERTE,14584
22878,CONNANGLES,22821
22879,STEENVOORDE,8260
22880,FOUR,6745
22881,VILLENEUVE SUR AISNE,19755
22882,DOMEYRAT,19263
22883,THIENNES,7781
22884,GRANIEU,11417
22885,HARAMONT,20377
22886,DUNIERES,7717
22887,THUMERIES,2888
22888,GRENAY,6571
22889,HAUTEVESNES,29202
22890,FONTANNES,6363
22891,VENDEGIES AU BOIS,10330
22892,HERBEYS,2917
22893,HIRSON,1348
22894,LANGEAC,3973
22895,VICQ,3210
22896,HIERES SUR AMBY,14508
22897,JEANCOURT,16594
22898,LAVAUDIEU,16195
22899,VILLEREAU,10881
22900,HUEZ,10454
22901,JUVINCOURT ET DAMARY,31868
22902,LAVOUTE CHILHAC,13146
22903,VILLERS EN CAUCHIES,12503
22904,L ISLE D ABEAU,728
22905,LANISCOURT,14484
22906,LORLANGES,25341
22907,WALLERS,1301
22908,JARCIEU,16040
22909,LAON,646
22910,MALVALETTE,7761
22911,WARGNIES LE PETIT,11363
22912,JARRIE,1492
22913,LAVAL EN LAONNOIS,11412
22914,MAZEYRAT D ALLIER,15741
22915,WARLAING,4854
22916,LANS EN VERCORS,7294
22917,LEMPIRE,24284
22918,MAZEYRAT D ALLIER,15741
22919,WATTEN,7186
22920,LUMBIN,8207
22921,LESDINS,8694
22922,MONTREGARD,22124
22923,WEMAERS CAPPEL,14132
22924,MALLEVAL EN VERCORS,20726
22925,LOUATRE,33048
22926,MONTUSCLAT,18190
22927,ACHY,19369
22928,MARCOLLIN,15931
22929,LA MALMAISON,32884
22930,OUIDES,29514
22931,LES AGEUX,7566
22932,MAUBEC,4320
22933,DHUYS ET MORIN EN BRIE,21204
22934,RAUCOULES,14671
22935,ARMANCOURT,6572
22936,AUTRANS MEAUDRE EN VERCORS,8922
22937,DHUYS ET MORIN EN BRIE,21204
22938,ROSIERES,7575
22939,ATTICHY,13409
22940,MOIDIEU DETOURBE,17830
22941,MARCY SOUS MARLE,27967
22942,ST ARCONS D ALLIER,22834
22943,BEAURAINS LES NOYON,6682
22944,MONESTIER DE CLERMONT,8749
22945,MOLAIN,11034
22946,ST ETIENNE DU VIGAN,12699
22947,BLICOURT,21615
22948,MONSTEROUX MILIEU,26198
22949,MOLINCHART,14732
22950,ST FRONT,28335
22951,BREUIL LE VERT,2808
22952,MONTAUD,13674
22953,MONTHENAULT,12145
22954,ST HAON,30622
22955,CARLEPONT,13623
22956,MONTCARRA,8221
22957,MONTHIERS,20751
22958,ST HILAIRE,26556
22959,CHOISY AU BAC,2571
22960,LES DEUX ALPES,14421
22961,MONT ST JEAN,33247
22962,ST HOSTIEN,12757
22963,COIVREL,20121
22964,MONTEYNARD,21046
22965,MORTIERS,20749
22966,ST PREJET ARMANDON,20861
22967,CONCHY LES POTS,23549
22968,LA MORTE,23961
22969,NEUFCHATEL SUR AISNE,28199
22970,ST PRIVAT D ALLIER,25293
22971,LE COUDRAY ST GERMER,14349
22972,LA MURE,3432
22973,VILLERS SOUS MONTROND,21338
22974,SANSSAC L EGLISE,6867
22975,COURTEUIL,4606
22976,MURINAIS,18814
22977,SOLAURE EN DIOIS,17617
22978,TENCE,4573
22979,LE PONCHEL,29255
22980,NOTRE DAME DE MESAGE,4829
22981,SOLAURE EN DIOIS,17617
22982,VERGONGHEON,7519
22983,PRESSY,13936
22984,NOTRE DAME DE VAULX,14429
22985,ALLEX,10938
22986,VEZEZOUX,12082
22987,QUOEUX HAUT MAINIL,30145
22988,ORNACIEUX BALBINS,12715
22989,ARPAVON,33202
22990,ASSERAC,818
22991,RACQUINGHEM,6898
22992,ORNON,29777
22993,ARTHEMONAY,11600
22994,BOUAYE,107
22995,ST AUGUSTIN,12795
22996,PAJAY,21458
22997,AUCELON,33847
22998,VILLENEUVE EN RETZ,417
22999,REMILLY WIRQUIN,13862
23000,VILLAGES DU LAC DE PALADRU,8738
23001,AULAN,33141
23002,CLISSON,2112
23003,SAILLY AU BOIS,24295
23004,LE PASSAGE,13412
23005,BALLONS,34734
23006,COUERON,901
23007,SAILLY EN OSTREVENT,8754
23008,PISIEU,28972
23009,LA BATIE DES FONDS,34642
23010,ERBRAY,8263
23011,SAINS LES MARQUION,12842
23012,PLAN,14434
23013,LA BAUME D HOSTUN,12527
23014,THOU,28688
23015,ST FOLQUIN,12227
23016,PONSONNAS,15112
23017,BEAUMONT MONTEUX,7006
23018,TIGY,21358
23019,ST LEONARD,1577
23020,PORCIEU AMBLAGNIEU,11016
23021,BEAUSEMBLANT,9366
23022,TIVERNON,26057
23023,ST POL SUR TERNOISE,2625
23024,QUINCIEU,23235
23025,LA BEGUDE DE MAZENC,19105
23026,VARENNES CHANGY,27212
23027,SAPIGNIES,12437
23028,ROCHETOIRIN,9226
23029,BELLECOMBE TARENDOL,34009
23030,VILLENEUVE SUR CONIE,30929
23031,SARTON,21754
23032,ROUSSILLON,2587
23033,BENIVAY OLLON,26963
23034,VILLEVOQUES,15166
23035,SAUCHY LESTREE,11954
23036,ROYBON,12794
23037,BESAYES,10307
23038,VIMORY,6749
23039,SAULTY,24823
23040,RUY MONTCEAU,5154
23041,BOUCHET,17911
23042,AUJOLS,12146
23043,SENINGHEM,25433
23044,ST ANDRE EN ROYANS,16798
23045,BOUVIERES,33890
23046,BALADOU,11893
23047,SERQUES,6883
23048,ST AREY,12367
23049,CHANOS CURSON,9367
23050,BEAUREGARD,29238
23051,SETQUES,8462
23052,ST BAUDILLE DE LA TOUR,18962
23053,CHANTEMERLE LES BLES,12966
23054,BELAYE,23986
23055,SOUCHEZ,2634
23056,ST BAUDILLE ET PIPET,29664
23057,LA CHAPELLE EN VERCORS,12486
23058,BELMONT BRETENOUX,6516
23059,TILLOY LES MOFFLAINES,1954
23060,STE BLANDINE,8957
23061,LA CHARCE,34492
23062,BLARS,34281
23063,LE TOUQUET PARIS PLAGE,193
23064,ST GEOIRE EN VALDAINE,6174
23065,CHARENS,34680
23066,PORTE DU QUERCY,27024
23067,VACQUERIETTE ERQUIERES,28884
23068,ST GEORGES D ESPERANCHE,7506
23069,CHATEAUNEUF DE BORDETTE,18166
23070,PORTE DU QUERCY,27024
23071,VILLERS SIR SIMON,25424
23072,ST HILAIRE DE BRENS,9871
23073,CHATILLON ST JEAN,9044
23074,BRENGUES,28511
23075,WAMIN,22493
23076,ST JEAN D HERANS,21798
23077,LA CHAUDIERE,33845
23078,CABRERETS,31090
23079,WARLUS,6140
23080,ST LAURENT EN BEAUMONT,26127
23081,CHAUVAC LAUX MONTAUX,34836
23082,CALVIGNAC,30367
23083,WILLENCOURT,30268
23084,STE LUCE,30304
23085,CLERIEUX,10031
23086,CAPDENAC,3145
23087,WISQUES,6872
23088,ST MARCEL BEL ACCUEIL,4999
23089,CLIOUSCLAT,17754
23090,CARAYAC,24147
23091,AIGUEPERSE,5859
23092,STE MARIE D ALLOIX,12363
23093,CONDILLAC,24552
23094,CASTELFRANC,12446
23095,ARS LES FAVETS,19461
23096,ST MAURICE L EXIL,3602
23097,CORNILLON SUR L OULE,33629
23098,CASTELNAU MONTRATIER STE ALAUZIE,15707
23099,BAFFIE,31972
23100,ST MICHEL EN BEAUMONT,33416
23101,CREPOL,20243
23102,CATUS,7956
23103,BANSAT,20067
23104,ST NAZAIRE LES EYMES,3904
23105,CREST,1998
23106,CAVAGNAC,15338
23107,BEAUMONT,434
23108,ST NIZIER DU MOUCHEROTTE,4347
23109,CROZES HERMITAGE,9833
23110,CEZAC,27308
23111,BEAUREGARD L EVEQUE,5494
23112,ST PAUL LES MONESTIER,19122
23113,CRUPIES,28926
23114,CRAS,25830
23115,BESSE ET ST ANASTAISE,7164
23116,CRETS EN BELLEDONNE,8735
23117,CURNIER,27666
23118,CRESSENSAC SARRAZAC,9198
23119,BULHON,15574
23120,ST QUENTIN FALLAVIER,2521
23121,ETOILE SUR RHONE,5375
23122,CRESSENSAC SARRAZAC,9198
23123,CEILLOUX,19819
23124,ST QUENTIN FALLAVIER,2521
23125,EYGALIERS,22964
23126,CREYSSE,15062
23127,CHABRELOCHE,7990
23128,ST ROMAIN DE SURIEU,13948
23129,FERRASSIERES,34356
23130,DURAVEL,7581
23131,CHASSAGNE,33578
23132,SATOLAS ET BONCE,6200
23133,GIGORS ET LOZERON,33820
23134,ESCAMPS,30185
23135,CHATEL GUYON,2509
23136,PORTE DES BONNEVAUX,16161
23137,HAUTERIVES,10859
23138,ESPAGNAC STE EULALIE,26040
23139,CISTERNES LA FORET,32028
23140,SEPTEME,6729
23141,LARNAGE,8062
23142,ESPERE,7593
23143,CLEMENSAT,18441
23144,SEREZIN DE LA TOUR,9237
23145,LA LAUPIE,19939
23146,FAJOLES,13896
23147,COLLANGES,15519
23148,SEYSSINET PARISET,619
23149,LAVAL D AIX,31632
23150,FLAUJAC POUJOLS,9737
23151,CORENT,6700
23152,SEYSSINS,1174
23153,LAVEYRON,9783
23154,FLOIRAC,17232
23155,LE CREST,3823
23156,LA TERRASSE,6704
23157,LEMPS,34210
23158,FRAYSSINET,26516
23159,CREVANT LAVEINE,16807
23160,THEYS,11849
23161,LENS LESTANG,14326
23162,GIGNAC,17131
23163,ECHANDELYS,29185
23164,THODURE,20750
23165,LESCHES EN DIOIS,34806
23166,GRAMAT,5643
23167,ESPIRAT,10628
23168,TREFFORT,20519
23169,MALATAVERNE,9200
23170,LABATHUDE,16512
23171,ESTANDEUIL,22412
23172,TULLINS,3489
23173,MALISSARD,1538
23174,LACAPELLE CABANAC,18114
23175,AULHAT FLAT,8046
23176,VALENCOGNE,11469
23177,MARIGNAC EN DIOIS,27091
23178,LADIRAT,22430
23179,GIAT,21677
23180,VARACIEUX,17059
23181,MERCUROL VEAUNES,7369
23182,LALBENQUE,13711
23183,LA GOUTELLE,30161
23184,VASSELIN,15333
23185,MOLLANS SUR OUVEZE,19624
23186,LARAMIERE,26414
23187,ISSOIRE,583
23188,VELANNE,8993
23189,MONTAUBAN SUR L OUVEZE,34792
23190,LAVAL DE CERE,18561
23191,JUMEAUX,12345
23192,VENERIEU,9326
23193,MONTCLAR SUR GERVANNE,27451
23194,LAVERCANTIERE,25482
23195,LAQUEUILLE,25857
23196,VEUREY VOROIZE,6470
23197,MONTLAUR EN DIOIS,32549
23198,LEYME,16065
23199,MANGLIEU,22805
23200,VEZERONCE CURTIN,8553
23201,MONTMIRAL,22364
23202,LUZECH,5636
23203,MANZAT,14021
23204,VEZERONCE CURTIN,8553
23205,VALHERBASSE,29353
23206,MARTEL,5518
23207,MAREUGHEOL,16612
23208,VILLARD BONNOT,2697
23209,PENNES LE SEC,34451
23210,MASCLAT,20557
23211,MARTRES SUR MORGE,6389
23212,VILLARD REYMOND,21493
23213,PLAN DE BAIX,34478
23214,MAYRINHAC LENTOUR,13819
23215,MUR SUR ALLIER,2795
23216,VILLETTE D ANTHON,4951
23217,POMMEROL,33907
23218,MIERS,22547
23219,MIREMONT,29934
23220,VOREPPE,2887
23221,PORTES LES VALENCE,2089
23222,MILHAC,14067
23223,L ABERGEMENT CLEMENCIAT,12218
23224,ABERGEMENT LA RONCE,4887
23225,RECOUBEAU JANSAC,33155
23226,MONTET ET BOUXAL,26853
23227,L ABERGEMENT DE VAREY,11790
23228,ABERGEMENT LE GRAND,24079
23229,ROCHECHINARD,15420
23230,NADAILLAC DE ROUGE,16806
23231,AMBERIEUX EN DOMBES,14735
23232,AMANGE,15821
23233,LA ROCHE DE GLUN,5520
23234,PADIRAC,23284
23235,ANGLEFORT,7830
23236,ARINTHOD,11804
23237,ROCHEFORT SAMSON,25971
23238,PUYJOURDES,31952
23239,ARANDAS,14668
23240,LA CHAILLEUSE,25089
23241,ROCHEGUDE,8657
23242,REILHAC,30052
23243,ATTIGNAT,12967
23244,LA CHAILLEUSE,25089
23245,ST BARDOUX,7404
23246,ROUFFILHAC,13892
23247,BAGE DOMMARTIN,9016
23248,LA CHAILLEUSE,25089
23249,ST DONAT SUR L HERBASSE,2733
23250,SABADEL LATRONQUIERE,21574
23251,BAGE DOMMARTIN,9016
23252,ASNANS BEAUVOISIN,16628
23253,ST JULIEN EN QUINT,34191
23254,ST CIRQ LAPOPIE,30451
23255,BEAUREGARD,2681
23256,ASNANS BEAUVOISIN,16628
23257,ST JULIEN EN VERCORS,26347
23258,ST CIRQ MADELON,12193
23259,BELIGNEUX,5028
23260,BALAISEAUX,13177
23261,ST LAURENT D ONAY,27504
23262,ST CIRQ SOUILLAGUET,17015
23263,BELIGNEUX,5028
23264,BAUME LES MESSIEURS,8832
23265,ST MARCEL LES SAUZET,10792
23266,LENDOU EN QUERCY,29446
23267,BELIGNEUX,5028
23268,BEAUFORT ORBAGNA,12211
23269,ST MARTIN D AOUT,21213
23270,BARGUELONNE EN QUERCY,29023
23271,VALSERHONE,1511
23272,BLOIS SUR SEILLE,17326
23273,ST MARTIN LE COLONEL,20328
23274,ST GERY VERS,15514
23275,BENY,14755
23276,BRACON,10239
23277,ST MAURICE SUR EYGUES,22041
23278,ST GERY VERS,15514
23279,BEREZIAT,28667
23280,BRETENIERES,26359
23281,ST PAUL TROIS CHATEAUX,4218
23282,ST MEDARD NICOURBY,24598
23283,BETTANT,4877
23284,CHAMBLAY,20338
23285,SAULCE SUR RHONE,18509
23286,ST VINCENT DU PENDIT,9970
23287,BEY,10392
23288,CHAMPAGNOLE,1208
23289,TAIN L HERMITAGE,2499
23290,SENIERGUES,25771
23291,BOYEUX ST JEROME,18286
23292,CHANCIA,10686
23293,TRIORS,9399
23294,SOUILLAC,2654
23295,BRENOD,21526
23296,LA CHAPELLE SUR FURIEUSE,17053
23297,VALAURIE,20353
23298,SOULOMES,27837
23299,BRENS,3595
23300,CHAPELLE VOLAND,22223
23301,VALDROME,34649
23302,SOUSCEYRAC EN QUERCY,15929
23303,CHALEINS,6058
23304,CHATEL DE JOUX,28658
23305,GRANGES LES BEAUMONT,4148
23306,TEYSSIEU,19138
23307,CHAMPFROMIER,18079
23308,NANCHEZ,26644
23309,AIZIER,19212
23310,THEMINETTES,27611
23311,CHATILLON LA PALUD,11061
23312,LA CHAUX DU DOMBIEF,26703
23313,AMECOURT,22148
23314,TRESPOUX RASSIELS,10929
23315,CHAVEYRIAT,10007
23316,ST HYMETIERE SUR VALOUSE,26289
23317,AMFREVILLE SOUS LES MONTS,6903
23318,VIAZAC,14921
23319,CHEVRY,5268
23320,CHEVREAUX,18225
23321,APPEVILLE ANNEBAULT,9594
23322,ST JEAN LAGINESTE,8810
23323,CONTREVOZ,11817
23324,CHILLE,2915
23325,ASNIERES,21064
23326,ALLEMANS DU DROPT,19787
23327,CORMORANCHE SUR SAONE,3599
23328,CHISSEY SUR LOUE,17324
23329,LE VAL D HAZEY,3818
23330,ALLONS,34830
23331,BRESSE VALLONS,11942
23332,CHOISEY,1833
23333,BACQUEPUIS,20490
23334,ANZEX,22212
23335,CROTTET,3987
23336,CHOUX,22208
23337,BAZINCOURT SUR EPTE,11377
23338,ARGENTON,20339
23339,CROZET,8846
23340,COLONNE,26402
23341,BAZOQUES,12317
23342,AURIAC SUR DROPT,22383
23343,CURCIAT DONGALON,27801
23344,CONTE,12860
23345,BEAUBRAY,26903
23346,BIRAC SUR TREC,8333
23347,DORTAN,7757
23348,CORNOD,11716
23349,MESNIL EN OUCHE,9909
23350,BOUDY DE BEAUREGARD,17316
23351,DROM,7690
23352,COURTEFONTAINE,16638
23353,MESNIL EN OUCHE,9909
23354,BOURLENS,13577
23355,FARGES,9698
23356,CRESSIA,24875
23357,MESNIL EN OUCHE,9909
23358,CAHUZAC,20711
23359,FRANCHELEINS,7332
23360,CROTENAY,11472
23361,MESNIL EN OUCHE,9909
23362,CALIGNAC,15746
23363,GORREVOD,9691
23364,CUISIA,18753
23365,MESNIL EN OUCHE,9909
23366,CASTELCULIER,2752
23367,GRAND CORENT,19415
23368,LE DESCHAUX,15517
23369,BEAUMONTEL,14416
23370,CASTILLONNES,16118
23371,GRILLY,6840
23372,VAL D EPY,26794
23373,LE BEC HELLOUIN,15447
23374,CAVARC,32785
23375,PLATEAU D HAUTEVILLE,4950
23376,VAL D EPY,26794
23377,BEMECOURT,13989
23378,CLERMONT DESSOUS,10559
23379,PLATEAU D HAUTEVILLE,4950
23380,LES ESSARDS TAIGNEVAUX,26508
23381,LES MONTS DU ROUMOIS,10989
23382,COURS,20443
23383,INNIMOND,17418
23384,LA FAVIERE,20137
23385,BOIS ARNAULT,18099
23386,CUQ,19141
23387,IZIEU,14066
23388,FONCINE LE HAUT,19408
23389,BEZU ST GERMAIN,14210
23390,DAMAZAN,7756
23391,JAYAT,19842
23392,FONTENU,27999
23393,BOUCONVILLE VAUCLAIR,31774
23394,DAUSSE,13022
23395,JOYEUX,18680
23396,FRAROZ,28674
23397,BRAINE,16049
23398,DOUDRAC,32119
23399,LABALME,22742
23400,GENOD,28520
23401,BURELLES,31867
23402,DURANCE,32394
23403,LAIZ,6683
23404,GIZIA,18738
23405,BUSSIARES,21314
23406,ENGAYRAC,27011
23407,LELEX,15760
23408,JEURRE,17712
23409,CHARMES,12561
23410,ESCASSEFORT,7839
23411,SURJOUX LHOPITAL,17966
23412,MONTLAINSIA,29162
23413,CHASSEMY,13996
23414,ESCLOTTES,26148
23415,SURJOUX LHOPITAL,17966
23416,LAJOUX,15111
23417,CHAVIGNON,18031
23418,FAUGUEROLLES,10030
23419,MAGNIEU,3268
23420,LARGILLAY MARSONNAY,891
23421,COINCY,24320
23422,FERRENSAC,27249
23423,MARBOZ,18055
23424,LARNAUD,4144
23425,COMMENCHON,14871
23426,FOULAYRONNES,2787
23427,MASSIGNIEU DE RIVES,6110
23428,LAVANGEOT,16679
23429,COULONGES COHAN,32220
23430,FRESPECH,21240
23431,MIJOUX,7687
23432,LAVANS LES ST CLAUDE,4497
23433,COURBES,28320
23434,GRAYSSAS,20181
23435,MONTCET,11072
23436,LAVANS LES ST CLAUDE,4497
23437,CRAONNE,25589
23438,HOUEILLES,32810
23439,MONTLUEL,1905
23440,VALZIN EN PETITE MONTAGNE,20005
23441,CRAONNELLE,30010
23442,LABASTIDE CASTEL AMOUROUX,27052
23443,MONTLUEL,1905
23444,LESCHERES,17898
23445,CRECY AU MONT,20716
23446,LACAUSSADE,23646
23447,MONTREAL LA CLUSE,4527
23448,LOMBARD,14266
23449,CROIX FONSOMME,14576
23450,LAGUPIE,7771
23451,NURIEUX VOLOGNAT,15507
23452,LONGCHAUMOIS,8059
23453,LA CROIX SUR OURCQ,30236
23454,LANNES,16972
23455,NIEVROZ,4247
23456,LE LOUVEROT,6323
23457,CUISSY ET GENY,30922
23458,LAPERCHE,25713
23459,ONCIEU,8782
23460,LA LOYE,11056
23461,DAGNY LAMBERCY,31909
23462,LAVERGNE,19648
23463,PERREX,8612
23464,LA MARRE,15900
23465,DOUCHY,14860
23466,LEDAT,7185
23467,PEYRIEU,9003
23468,MENETRU LE VIGNOBLE,12388
23469,ESSISES,21592
23470,MASQUIERES,22761
23471,PEYZIEUX SUR SAONE,14334
23472,MOLAIN,17619
23473,FLEURY,25143
23474,MONBAHUS,28675
23475,POLLIAT,3687
23476,MONNETAY,32628
23477,GERGNY,17501
23478,MONBALEN,15414
23479,POLLIEU,7898
23480,MONTAGNA LE RECONDUIT,20133
23481,GUYENCOURT,29243
23482,MONHEURT,17013
23483,POUILLAT,28705
23484,MONTAIGU,2845
23485,HOUSSET,30291
23486,MONTAURIOL,25046
23487,RELEVANT,12016
23488,MONTEPLAIN,18949
23489,LERZY,18864
23490,MONTAUT,30717
23491,REYRIEUX,1990
23492,MONTREVEL,32623
23493,LESCHELLE,23704
23494,MONTAYRAL,7231
23495,REYSSOUZE,9375
23496,MORBIER,7315
23497,LOGNY LES AUBENTON,31688
23498,MONTETON,18689
23499,ROSSILLON,16629
23500,MOUCHARD,5952
23501,LES SEPTVALLONS,28873
23502,MONTPOUILLAN,11798
23503,RUFFIEU,28241
23504,LES MOUSSIERES,10744
23505,MACHECOURT,31360
23506,MONVIEL,30076
23507,ST BENIGNE,10607
23508,MOUTONNE,29657
23509,MACOGNY,25969
23510,MOULINET,25738
23511,ST DENIS EN BUGEY,3816
23512,LES TROIS CHATEAUX,21477
23513,MANICAMP,14133
23514,NICOLE,10373
23515,ST DIDIER D AUSSIAT,13568
23516,NANCE,8847
23517,DHUYS ET MORIN EN BRIE,21204
23518,PARRANQUET,31584
23519,ST DIDIER DE FORMANS,2821
23520,NANCUISE,31521
23521,MESBRECOURT RICHECOURT,28501
23522,PINDERES,29865
23523,ST GERMAIN LES PAROISSES,13099
23524,NEVY LES DOLE,9290
23525,MONTBREHAIN,14140
23526,PONT DU CASSE,1714
23527,ST JEAN LE VIEUX,6819
23528,NEVY SUR SEILLE,8456
23529,MONTESCOURT LIZEROLLES,10955
23530,POUDENAS,32585
23531,ST JEAN SUR REYSSOUZE,25663
23532,NOGNA,18147
23533,MONTIGNY EN ARROUAISE,25278
23534,PRAYSSAS,9435
23535,ST JUST,2493
23536,OFFLANGES,18618
23537,ST MARCEAU,13853
23538,LA REUNION,11409
23539,ST MAURICE DE GOURDANS,5457
23540,OUSSIERES,27480
23541,ST OUEN DE MIMBRE,14235
23542,STE COLOMBE DE VILLENEUVE,20893
23543,STE OLIVE,21410
23544,PANNESSIERES,2977
23545,ST PATERNE LE CHEVAIN,2175
23546,ST HILAIRE DE LUSIGNAN,4540
23547,ST PAUL DE VARAX,19248
23548,PASSENANS,17090
23549,ST PIERRE DE CHEVILLE,14222
23550,ST PE ST SIMON,33982
23551,ST SULPICE,25687
23552,PEINTRE,8367
23553,ST SYMPHORIEN,25936
23554,ST PIERRE DE CLAIRAC,8523
23555,SALAVRE,23055
23556,PLAINOISEAU,5225
23557,SCEAUX SUR HUISNE,19992
23558,ST SAUVEUR DE MEILHAN,17955
23559,SANDRANS,23178
23560,LES PLANCHES EN MONTAGNE,23563
23561,SOULIGNE SOUS BALLON,11618
23562,ST SYLVESTRE SUR LOT,4111
23563,SEILLONNAZ,16723
23564,PLENISE,26349
23565,TASSILLE,17592
23566,SAUMONT,15542
23567,SERMOYER,24431
23568,POLIGNY,3333
23569,VIVOIN,13337
23570,LA SAUVETAT DU DROPT,26353
23571,SERVIGNAT,22541
23572,PONT D HERY,17415
23573,AIME LA PLAGNE,3252
23574,VILLEFRANCHE DU QUEYRAN,27519
23575,SULIGNAT,17249
23576,PONT D HERY,17415
23577,ENTRELACS,217
23578,VILLENEUVE SUR LOT,472
23579,TENAY,11746
23580,PREMANON,15230
23581,BARBERAZ,650
23582,VILLETON,7237
23583,THIL,2916
23584,PRESILLY,23313
23585,BASSENS,517
23586,ALBARET LE COMTAL,1022
23587,THOIRY,4134
23588,RECANOZ,21900
23589,BONVILLARD,10667
23590,ALLENC,30421
23591,TOSSIAT,5779
23592,ROGNA,19151
23593,BOURDEAU,215
23594,LES MONTS VERTS,20814
23595,TRAMOYES,2319
23596,ROTHONAY,29106
23597,BOURG ST MAURICE,906
23598,BADAROUX,8674
23599,LA TRANCLIERE,15884
23600,LES ROUSSES,3756
23601,CESARCHES,3855
23602,PIED DE BORNE,28946
23603,VANDEINS,13088
23604,LES ROUSSES,3756
23605,CHAMOUSSET,9811
23606,MONT LOZERE ET GOULET,20466
23607,VARAMBON,12028
23608,ST CLAUDE,794
23609,CHAMPAGNEUX,9899
23610,LA CANOURGUE,12159
23611,VESANCY,8582
23612,ST CLAUDE,794
23613,LA CHAPELLE DU MONT DU CHAT,297
23614,CHADENET,21383
23615,VILLES,7347
23616,ST CYR MONTMALIN,20969
23617,LES CHAPELLES,15933
23618,BEL AIR VAL D ANCE,20247
23619,VIRIEU LE GRAND,7994
23620,COTEAUX DU LIZON,6036
23621,LES CHAVANNES EN MAURIENNE,17417
23622,CHANAC,10670
23623,ARVIERE EN VALROMEY,9609
23624,SARROGNA,20395
23625,COGNIN,569
23626,CHASTANIER,815
23627,ALLEMANT,19880
23628,SELLIERES,15301
23629,CONJUX,579
23630,CUBIERETTES,32297
23631,AMBLENY,20376
23632,SEPTMONCEL LES MOLUNES,6657
23633,DETRIER,8890
23634,LA FAGE MONTIVERNOUX,32828
23635,AMBRIEF,14677
23636,SUPT,29166
23637,FRETERIVE,13161
23638,GATUZIERES,28003
23639,AMIFONTAINE,29451
23640,TAXENNE,25569
23641,GRIGNON,2200
23642,JULIANGES,30649
23643,ANIZY LE GRAND,8650
23644,THESY,23333
23645,LA TOUR EN MAURIENNE,11646
23646,LUC,27970
23647,ARCY STE RESTITUE,33084
23648,THOIRETTE COISIA,10442
23649,LAISSAUD,8037
23650,MASSEGROS CAUSSES GORGES,29038
23651,ATHIES SOUS LAON,8174
23652,LA TOUR DU MEIX,806
23653,MERCURY,5463
23654,MENDE,236
23655,ATTILLY,6645
23656,VAUDREY,15789
23657,MONTAILLEUR,9139
23658,NAUSSAC FONTANES,746
23659,AUDIGNY,14479
23660,LA VIEILLE LOYE,24945
23661,MONTHION,6210
23662,NOALHAC,28007
23663,AUGY,20070
23664,VILLETTE LES DOLE,3178
23665,MONTRICHER ALBANNE,13186
23666,PAULHAC EN MARGERIDE,31213
23667,AULNOIS SOUS LAON,14855
23668,VAL SONNETTE,18550
23669,LA MOTTE EN BAUGES,15371
23670,PELOUSE,29694
23671,BEAUVOIS EN VERMANDOIS,16883
23672,VAL SONNETTE,18550
23673,MOTZ,7813
23674,PRUNIERES,13516
23675,BILLY SUR AISNE,4452
23676,VAL SONNETTE,18550
23677,LA LECHERE,5786
23678,RECOULES DE FUMAS,24064
23679,BOIS LES PARGNY,23753
23680,VITREUX,21866
23681,LA LECHERE,5786
23682,ST BONNET LAVAL,25921
23683,BONY,27155
23684,VOSBLES VALFIN,28867
23685,NOTRE DAME DU CRUET,17774
23686,ST BONNET LAVAL,25921
23687,BOSMONT SUR SERRE,32752
23688,ARESCHES,22158
23689,PRALOGNAN LA VANOISE,16566
23690,ST BONNET LAVAL,25921
23691,BOURG ET COMIN,29295
23692,ANGOUME,6307
23693,VAL D ARC,6274
23694,STE CROIX VALLEE FRANCAISE,27834
23695,BOURGUIGNON SOUS COUCY,14029
23696,ANGRESSE,5382
23697,VAL D ARC,6274
23698,ST ETIENNE DU VALDONNEZ,24296
23699,BRANCOURT LE GRAND,16952
23700,AUBAGNAN,18362
23701,ROGNAIX,16541
23702,STE EULALIE,33264
23703,BRASLES,5452
23704,AUREILHAN,30840
23705,ST ALBAN LEYSSE,427
23706,VENTALON EN CEVENNES,30062
23707,BRAY ST CHRISTOPHE,19825
23708,AZUR,26595
23709,ST ANDRE,24726
23710,ST GAL,30874
23711,BRUYERES ET MONTBERAULT,9830
23712,BAHUS SOUBIRAN,11816
23713,ST AVRE,6979
23714,STE HELENE,9705
23715,BUCY LE LONG,6278
23716,BASCONS,5755
23717,COURCHEVEL,5169
23718,ST JEAN LA FOUILLOUSE,29333
23719,CAMELIN,28630
23720,BENESSE LES DAX,11075
